domain,ip,is_dga,confidence
www.cnn.com,71.198.243.158,0,0.98
www.cnn.com,68.87.76.178,0,0.98
i.a.cnn.net,71.198.243.158,0,0.98
i.a.cnn.net,68.87.76.178,0,0.98
i.cnn.net,71.198.243.158,0,0.98
i.cnn.net,68.87.76.178,0,0.98
ar.atwola.com,71.198.243.158,0,0.98
ar.atwola.com,68.87.76.178,0,0.98
ads.cnn.com,71.198.243.158,0,0.98
ads.cnn.com,68.87.76.178,0,0.98
cl.cnn.com,71.198.243.158,0,0.98
cl.cnn.com,68.87.76.178,0,0.98
bannerfarm.ace.advertising.com,71.198.243.158,1,0.66
bannerfarm.ace.advertising.com,68.87.76.178,1,0.66
cnn.dyn.cnn.com,71.198.243.158,0,0.98
cnn.dyn.cnn.com,68.87.76.178,0,0.98
leadback.advertising.com,71.198.243.158,0,1.0
leadback.advertising.com,68.87.76.178,0,1.0
servedby.advertising.com,71.198.243.158,0,1.0
servedby.advertising.com,68.87.76.178,0,1.0
cdn2.adsdk.com,71.198.243.158,0,0.61
cdn2.adsdk.com,68.87.76.178,0,0.61
gdyn.cnn.com,71.198.243.158,0,0.98
gdyn.cnn.com,68.87.76.178,0,0.98
cnn.122.2o7.net,71.198.243.158,0,0.98
cnn.122.2o7.net,68.87.76.178,0,0.98
ad.doubleclick.net,71.198.243.158,0,0.98
ad.doubleclick.net,68.87.76.178,0,0.98
m1.2mdn.net,71.198.243.158,0,0.61
m1.2mdn.net,68.87.76.178,0,0.61
www.microsoft.com,71.198.243.158,0,0.98
www.microsoft.com,68.87.76.178,0,0.98
css.microsoft.com,71.198.243.158,0,0.98
css.microsoft.com,68.87.76.178,0,0.98
js.microsoft.com,71.198.243.158,0,0.98
js.microsoft.com,68.87.76.178,0,0.98
rad.microsoft.com,71.198.243.158,0,0.98
img.microsoft.com,71.198.243.158,0,0.98
rad.microsoft.com,68.87.76.178,0,0.98
img.microsoft.com,68.87.76.178,0,0.98
view.atdmt.com,71.198.243.158,0,1.0
view.atdmt.com,68.87.76.178,0,1.0
m.webtrends.com,71.198.243.158,0,0.98
c.microsoft.com,71.198.243.158,0,0.98
m.webtrends.com,68.87.76.178,0,0.98
c.microsoft.com,68.87.76.178,0,0.98
mir.atdmt.com,71.198.243.158,0,0.98
mir.atdmt.com,68.87.76.178,0,0.98
www.ebay.com,71.198.243.158,0,0.98
www.ebay.com,68.87.76.178,0,0.98
include.ebaystatic.com,71.198.243.158,0,1.0
include.ebaystatic.com,68.87.76.178,0,1.0
pics.ebaystatic.com,71.198.243.158,0,0.98
pics.ebaystatic.com,68.87.76.178,0,0.98
srx.main.ebayrtm.com,71.198.243.158,0,0.98
srx.main.ebayrtm.com,68.87.76.178,0,0.98
us.ebayobjects.com,71.198.243.158,0,0.98
us.ebayobjects.com,68.87.76.178,0,0.98
banners.ebaystatic.com,71.198.243.158,0,1.0
banners.ebay.com,71.198.243.158,0,1.0
banners.ebaystatic.com,68.87.76.178,0,1.0
banners.ebay.com,68.87.76.178,0,1.0
http300.edge.ru4.com,71.198.243.158,0,0.59
http300.edge.ru4.com,68.87.76.178,0,0.59
m.2mdn.net,71.198.243.158,0,0.98
m.2mdn.net,68.87.76.178,0,0.98
2.26.64.24.in-addr.arpa,67.170.215.94,0,0.61
2.26.64.24.in-addr.arpa,68.87.76.178,0,0.61
209.152.63.60.in-addr.arpa,67.170.215.94,0,0.59
209.152.63.60.in-addr.arpa,68.87.76.178,0,0.59
248.10.140.121.in-addr.arpa,67.170.215.94,0,0.59
248.10.140.121.in-addr.arpa,68.87.76.178,0,0.59
97.215.64.81.in-addr.arpa,67.170.215.94,0,0.59
97.215.64.81.in-addr.arpa,68.87.76.178,0,0.59
170.92.128.195.in-addr.arpa,67.170.215.94,0,0.59
170.92.128.195.in-addr.arpa,68.87.76.178,0,0.59
200.220.40.206.in-addr.arpa,67.170.215.94,0,0.59
200.220.40.206.in-addr.arpa,68.87.76.178,0,0.59
38.192.12.60.in-addr.arpa,67.170.215.94,0,0.59
38.192.12.60.in-addr.arpa,68.87.76.178,0,0.59
241.113.12.221.in-addr.arpa,67.170.215.94,0,0.59
241.113.12.221.in-addr.arpa,68.87.76.178,0,0.59
